NA_Sales_Log,JP_Sales_Log,EU_Sales_Log,Other_Sales_Log,Critic_Count,User_Count,Microsoft,Nintendo,Other,PC,PlayStation,Action,Casual,RPG,Simulation,Sports,Strategy,Global_Sales
3.7462045207332055,1.5623463049002497,3.3998631586490187,2.2460147415056513,51,324.0,0,1,0,0,0,0,0,0,0,1,0,82.54
3.403860499081639,2.0554049638515948,1.5216989981260935,0.5709795465857378,21,25.0,0,1,0,0,0,1,0,0,0,0,0,40.24
2.8142103969306005,1.5665304114228238,2.624668592163159,1.4562867329399256,73,712.0,0,1,0,0,0,0,0,0,0,1,0,35.57
2.8100049236252036,1.4539530095937052,2.4807312783775197,1.3737155789130306,73,193.0,0,1,0,0,0,0,0,0,0,1,0,32.78
2.50715725872282,2.4176979000945504,2.2915241456346207,0.6931471805599453,21,25.0,0,1,0,0,0,0,0,1,0,0,0,31.37
3.186352633162641,1.6524974018945473,1.1817271953786161,0.4574248470388755,21,25.0,0,1,0,0,0,0,1,0,0,0,0,30.26
2.5079719227189963,2.0149030205422647,2.3174737054877963,1.355835153635182,65,433.0,0,1,0,0,0,1,0,0,0,0,0,29.81
2.7053799725463312,1.3686394258811698,2.3204250111223765,1.3454723665996355,41,129.0,0,1,0,0,0,0,1,0,0,0,0,28.92
2.739548868161581,1.7404661748405046,2.0731719286662407,1.1786549963416462,80,595.0,0,1,0,0,0,1,0,0,0,0,0,28.38
3.3297013799570854,0.2468600779315258,0.4885800148186709,0.3852624007906449,21,25.0,0,1,0,0,0,1,0,0,0,0,0,28.31
2.307572634505085,1.0750024230289759,2.4807312783775197,1.3190856114264407,21,25.0,0,1,0,0,0,0,0,0,1,0,0,24.67
2.3711778844596574,1.6351056591826783,2.1377104498038118,1.0647107369924282,64,465.0,0,1,0,0,0,0,0,0,0,1,0,23.22
2.302585092994046,2.1041341542702074,1.9712993830601329,0.5364933705145685,21,25.0,0,1,0,0,0,0,0,1,0,0,0,23.1
2.2945529212967815,1.5260563034950492,2.200552367428894,1.1474024528375417,63,146.0,0,1,0,0,0,0,0,0,0,1,0,22.7
2.7738379416402132,0.2151113796169455,1.776645831418007,0.9895411936137477,45,106.0,1,0,0,0,0,0,1,0,0,0,0,21.86
2.303584593327129,1.2612978709452054,2.2502386126218363,1.0188473201992472,33,52.0,0,1,0,0,0,0,0,0,0,1,0,21.79
2.081938421878423,0.6830968447064438,2.316487998163037,1.6034198401085376,50,4009.0,0,0,0,0,1,1,0,0,0,0,0,21.12
2.344686269012681,0.34358970439007686,0.3364722366212129,2.448415541205585,80,1606.0,0,0,0,0,1,1,0,0,0,0,0,20.81
2.6232182655855123,1.5129270120532565,1.55814461804655,0.4382549309311553,21,25.0,0,1,0,0,0,1,0,0,0,0,0,20.61
1.747459210331475,1.6409365794934714,2.322387720290225,1.1118575154181303,58,50.0,0,1,0,0,0,0,1,0,0,0,0,20.15
1.998773638612381,1.951608170169951,1.6974487897568136,0.8586616190375188,21,25.0,0,1,0,0,0,0,0,1,0,0,0,18.25
2.4706386779902956,1.6448050562713916,1.3110318766193438,0.35065687161316933,21,25.0,0,1,0,0,0,1,0,0,0,0,0,18.14
2.355177543113216,1.5769147207285403,1.4906543764441333,0.37843643572024505,21,25.0,0,1,0,0,0,1,0,0,0,0,0,17.28
2.3664984187376983,0.058268908123975824,1.8196988379172965,0.8796267475025636,58,3722.0,1,0,0,0,0,1,0,0,0,0,0,16.3
2.2417729535972883,0.3852624007906449,1.8702625307159986,1.0224509277025458,62,736.0,0,0,0,0,1,1,0,0,0,0,0,16.15
1.9544450515051506,1.8531680973566984,1.589235205116581,0.4054651081081644,21,25.0,0,1,0,0,0,0,0,1,0,0,0,15.85
1.4883995840570443,1.843719208158766,1.8484548129046001,0.7793248768009975,37,19.0,0,1,0,0,0,0,1,0,0,0,0,15.29
1.873339456220478,1.8961194845522977,1.430311246536665,0.5877866649021191,21,25.0,0,1,0,0,0,0,0,1,0,0,0,15.14
2.060513531794317,1.0543120297715298,1.8066480817218056,0.7701082216960737,54,314.0,0,0,0,0,1,0,0,0,0,1,0,14.98
1.8547342683894434,1.6789639750827108,1.6808279085207734,0.5877866649021191,21,25.0,0,1,0,0,0,0,0,1,0,0,0,14.92
1.9572739077056285,0.30748469974796055,1.9387416595767009,1.2267122912954254,21,25.0,0,0,0,0,1,1,0,0,0,0,0,14.8
2.3085671646715933,0.12221763272424911,1.6601310267496185,0.8458682675776092,81,8715.0,1,0,0,0,0,1,0,0,0,0,0,14.77
2.373043556642607,0.10436001532424286,1.547562508716013,0.7561219797213337,89,1456.0,1,0,0,0,0,1,0,0,0,0,0,14.67
1.9300710850255671,1.415853163361435,1.7984040119467235,0.46373401623214006,21,25.0,0,1,0,0,0,0,0,1,0,0,0,14.64
1.7900914121273581,0.5007752879124892,1.9065751436566365,1.2296405510745139,21,921.0,0,0,0,0,1,1,0,0,0,0,0,13.79
2.224623551524334,0.06765864847381486,1.6601310267496185,0.7514160886839212,73,2261.0,1,0,0,0,0,1,0,0,0,0,0,13.69
2.253394848803274,0.0769610411361284,1.5260563034950492,0.8241754429663495,100,2702.0,1,0,0,0,0,1,0,0,0,0,0,13.48
1.6331544390514163,0.32930374714260047,2.050270164379556,1.1249295969854831,66,2955.0,0,0,0,0,1,1,0,0,0,0,0,13.36
1.8779371654691073,0.3987761199573678,1.9065751436566365,0.9439058989071285,39,5237.0,0,0,0,0,1,1,0,0,0,0,0,13.32
2.0781907597781832,0.26236426446749106,1.706564623164823,0.8329091229351039,56,667.0,0,0,0,0,1,1,0,0,0,0,0,13.1
1.824549292051046,1.308332819650179,1.6467336971777973,0.6626879730752367,73,633.0,0,1,0,0,0,0,0,0,0,1,0,13.04
2.033397603178429,1.297463147413275,1.269760544863939,0.6981347220709843,81,1667.0,0,1,0,0,0,1,0,0,0,0,0,12.87
1.9459101490553132,0.3920420877760237,1.6808279085207734,1.0296194171811581,58,1095.0,0,0,0,0,1,1,0,0,0,0,0,12.64
1.252762968495368,1.8453002361560848,1.4929040961781488,0.6205764877251098,57,243.0,0,1,0,0,0,0,0,0,1,0,0,12.13
2.1938856760707046,0.12221763272424911,1.3376291891386096,0.7929925155296614,86,4109.0,1,0,0,0,0,1,0,0,0,0,0,12.12
1.6956156086751528,1.410986973710262,1.534714366238164,0.5653138090500605,21,25.0,0,1,0,0,0,0,0,1,0,0,0,11.95
2.0681277817795625,1.0681530811834012,1.3480731482996928,0.20701416938432612,21,25.0,0,1,0,0,0,1,0,0,0,0,0,11.89
1.6752256529721035,1.601405740736836,1.3110318766193438,0.5653138090500605,21,25.0,0,1,0,0,0,1,0,0,0,0,0,11.77
1.3887912413184778,0.7419373447293773,0.009950330853168092,2.143589361503588,74,273.0,0,0,0,0,1,0,0,0,0,1,0,11.66
1.7934247485471162,1.355835153635182,1.3190856114264407,0.5709795465857378,21,25.0,0,1,0,0,0,0,0,1,0,0,0,11.4
1.9544450515051506,0.7884573603642703,1.4724720573609429,0.5538851132264376,73,2159.0,0,1,0,0,0,1,0,0,0,0,0,11.36
1.9685099809725544,1.3056264580524357,1.1118575154181303,0.25464221837358075,21,25.0,0,1,0,0,0,0,0,1,0,0,0,11.18
2.050270164379556,0.1310282624064042,1.4036429994545037,0.7080357930536961,86,2958.0,1,0,0,0,0,1,0,0,0,0,0,11.01
1.6134299337036377,1.264126727145683,1.5830939370944985,0.41871033485818504,16,140.0,0,0,0,0,1,0,0,0,0,1,0,10.95
1.7732559976634952,1.144222799920162,1.3987168811184478,0.5766133643039938,82,925.0,0,1,0,0,0,1,0,0,0,0,0,10.87
1.3762440252663892,0.5933268452777344,1.7613002617433464,1.1346227261911428,82,1115.0,0,0,0,0,1,0,0,0,0,1,0,10.7
1.7900914121273581,0.3220834991691132,1.534714366238164,0.9555114450274363,67,2077.0,0,0,0,0,1,1,0,0,0,0,0,10.6
1.944480556245719,1.1378330018213911,1.1474024528375417,0.25464221837358075,21,25.0,0,1,0,0,0,1,0,0,0,0,0,10.55
1.7526720805200082,0.36464311358790924,1.547562508716013,0.9593502213346021,64,2849.0,0,0,0,0,1,1,0,0,0,0,0,10.51
1.6752256529721035,1.423108334242607,1.2947271675944,0.30010459245033816,21,25.0,0,1,0,0,0,0,0,1,0,0,0,10.49
